#支付流水记录
#起始日期：[2026年07月11日 00:00:00]    终止日期：[2026年07月11日 23:59:59]
#---------------------------------------------支付流水明细-------------------------------------------
交易时间,app_id,支付ID,商户订单号,交易类型,交易金额,手续费金额,货币种类,交易状态,第三方订单号,支付完成时间,支付模式,商品描述,花呗分期期数,入账时间,冻结状态,订单描述,微信/支付宝订单号
20260711002013,APP_DEMO_00002,ADAPAYID_DEMO_00001,ORDNO_DEMO_00002,微信小程序支付,0.03,0.00,cny,S,THIRDPAY_DEMO_00091,20260711002022,延时,洗漱台,,20260711,,,WXP_DEMO_00101
20260711015446,APP_DEMO_00001,ADAPAYID_DEMO_00002,ORDNO_DEMO_00113,微信小程序支付,14.90,0.00,cny,S,THIRDPAY_DEMO_00059,20260711015452,延时,大份茶油铁板烤鸭+配菜+米饭,,20260711,,,WXP_DEMO_00106
20260711030327,APP_DEMO_00001,ADAPAYID_DEMO_00003,ORDNO_DEMO_00114,微信小程序支付,17.00,0.00,cny,F,THIRDPAY_DEMO_00092,,延时,招牌皮蛋瘦肉粥等,,,,,
20260711094801,APP_DEMO_00001,ADAPAYID_DEMO_00004,ORDNO_DEMO_00115,微信小程序支付,22.48,0.00,cny,S,THIRDPAY_DEMO_00029,20260711094846,延时,红烧冬瓜煲,,20260711,,,WXP_DEMO_00067
20260711102450,APP_DEMO_00001,ADAPAYID_DEMO_00006,ORDNO_DEMO_00117,微信小程序支付,18.76,0.00,cny,S,THIRDPAY_DEMO_00030,20260711102456,延时,外婆菜炒肉+木桶饭等,,20260711,,,WXP_DEMO_00006
20260711103425,APP_DEMO_00001,ADAPAYID_DEMO_00007,ORDNO_DEMO_00118,微信小程序支付,31.00,0.00,cny,S,THIRDPAY_DEMO_00002,20260711103431,延时,北京烤鸭一只+面饼,,20260711,,,WXP_DEMO_00108
20260711103444,APP_DEMO_00001,ADAPAYID_DEMO_00008,ORDNO_DEMO_00119,微信小程序支付,14.80,0.00,cny,S,THIRDPAY_DEMO_00093,20260711103451,延时,油豆腐炒肉（煲仔饭）等,,20260711,,,WXP_DEMO_00042
20260711103701,APP_DEMO_00001,ADAPAYID_DEMO_00009,ORDNO_DEMO_00120,微信小程序支付,15.08,0.00,cny,S,THIRDPAY_DEMO_00031,20260711103707,延时,招牌原味螺蛳粉等,,20260711,,,WXP_DEMO_00033
20260711104126,APP_DEMO_00001,ADAPAYID_DEMO_00010,ORDNO_DEMO_00121,微信小程序支付,13.80,0.00,cny,S,THIRDPAY_DEMO_00032,20260711104134,延时,火腿炒蛋（煲仔饭）,,20260711,,,WXP_DEMO_00086
20260711104320,APP_DEMO_00001,ADAPAYID_DEMO_00011,ORDNO_DEMO_00122,微信小程序支付,13.80,0.00,cny,S,THIRDPAY_DEMO_00094,20260711104326,延时,卜豆角炒肉（煲仔饭）,,20260711,,,WXP_DEMO_00057
20260711104508,APP_DEMO_00001,ADAPAYID_DEMO_00012,ORDNO_DEMO_00123,微信小程序支付,13.80,0.00,cny,S,THIRDPAY_DEMO_00060,20260711104515,延时,油豆腐炒肉（煲仔饭）,,20260711,,,WXP_DEMO_00088
20260711110038,APP_DEMO_00001,ADAPAYID_DEMO_00014,ORDNO_DEMO_00125,微信小程序支付,21.39,0.00,cny,S,THIRDPAY_DEMO_00033,20260711110045,延时,【豪华顶配】七荤八素大满贯炒饭|每口有肉等,,20260711,,,WXP_DEMO_00023
20260711110824,APP_DEMO_00001,ADAPAYID_DEMO_00015,ORDNO_DEMO_00126,微信小程序支付,12.80,0.00,cny,S,THIRDPAY_DEMO_00003,20260711110832,延时,【炒河粉】里脊肉鸡蛋炒河粉,,20260711,,,WXP_DEMO_00034
20260711110944,APP_DEMO_00001,ADAPAYID_DEMO_00016,ORDNO_DEMO_00127,微信小程序支付,17.00,0.00,cny,S,THIRDPAY_DEMO_00004,20260711110956,延时,北京烤鸭半只+饼,,20260711,,,WXP_DEMO_00054
