#分账流水记录
#起始日期：[2026年07月11日 00:00:00]    终止日期：[2026年07月11日 23:59:59]
#---------------------------------------------分账流水明细-------------------------------------------
支付对象id,订单号,交易金额,分账金额,交易完成时间,支付模式,支付确认对象id,分账用户,手续费承担方,手续费金额,原订单号
ADAPAYID_DEMO_00057,ORDNO_DEMO_00058,14.90,4.58,2026-07-11 14:11:17,延时,ADAPAYID_DEMO_00065,0,Y,0.04,ORDNO_DEMO_00168,
ADAPAYID_DEMO_00057,ORDNO_DEMO_00058,14.90,10.32,2026-07-11 14:11:17,延时,ADAPAYID_DEMO_00065,MEMBER_UUID_DEMO_0008,N,0.00,ORDNO_DEMO_00168,
ADAPAYID_DEMO_00008,ORDNO_DEMO_00015,14.80,4.56,2026-07-11 17:18:49,延时,ADAPAYID_DEMO_00087,0,Y,0.04,ORDNO_DEMO_00119,
ADAPAYID_DEMO_00008,ORDNO_DEMO_00015,14.80,10.24,2026-07-11 17:18:49,延时,ADAPAYID_DEMO_00087,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00119,
ADAPAYID_DEMO_00125,ORDNO_DEMO_00001,0.03,0.02,2026-07-11 23:12:05,延时,ADAPAYID_DEMO_00126,m_154_2_IDCARD_DEMO_0,Y,0.00,ORDNO_DEMO_00009,
ADAPAYID_DEMO_00125,ORDNO_DEMO_00001,0.03,0.01,2026-07-11 23:12:05,延时,ADAPAYID_DEMO_00126,m_154_1_IDCARD_DEMO_9,N,0.00,ORDNO_DEMO_00009,
ADAPAYID_DEMO_00002,ORDNO_DEMO_00011,14.90,4.58,2026-07-11 23:45:01,延时,ADAPAYID_DEMO_00128,0,Y,0.04,ORDNO_DEMO_00113,
ADAPAYID_DEMO_00002,ORDNO_DEMO_00011,14.90,10.32,2026-07-11 23:45:01,延时,ADAPAYID_DEMO_00128,MEMBER_UUID_DEMO_0008,N,0.00,ORDNO_DEMO_00113,
ADAPAYID_DEMO_00004,ORDNO_DEMO_00012,22.48,8.51,2026-07-11 23:45:01,延时,ADAPAYID_DEMO_00129,0,Y,0.06,ORDNO_DEMO_00115,
ADAPAYID_DEMO_00004,ORDNO_DEMO_00012,22.48,13.97,2026-07-11 23:45:01,延时,ADAPAYID_DEMO_00129,MEMBER_UUID_DEMO_0017,N,0.00,ORDNO_DEMO_00115,
ADAPAYID_DEMO_00006,ORDNO_DEMO_00013,18.76,5.28,2026-07-11 23:45:02,延时,ADAPAYID_DEMO_00130,0,Y,0.05,ORDNO_DEMO_00117,
ADAPAYID_DEMO_00006,ORDNO_DEMO_00013,18.76,13.48,2026-07-11 23:45:02,延时,ADAPAYID_DEMO_00130,MEMBER_UUID_DEMO_0021,N,0.00,ORDNO_DEMO_00117,
ADAPAYID_DEMO_00007,ORDNO_DEMO_00014,31.00,7.48,2026-07-11 23:45:02,延时,ADAPAYID_DEMO_00131,0,Y,0.08,ORDNO_DEMO_00118,
ADAPAYID_DEMO_00007,ORDNO_DEMO_00014,31.00,23.52,2026-07-11 23:45:02,延时,ADAPAYID_DEMO_00131,MEMBER_UUID_DEMO_0014,N,0.00,ORDNO_DEMO_00118,
ADAPAYID_DEMO_00009,ORDNO_DEMO_00016,15.08,4.61,2026-07-11 23:45:02,延时,ADAPAYID_DEMO_00132,0,Y,0.04,ORDNO_DEMO_00120,
ADAPAYID_DEMO_00009,ORDNO_DEMO_00016,15.08,10.47,2026-07-11 23:45:02,延时,ADAPAYID_DEMO_00132,MEMBER_UUID_DEMO_0024,N,0.00,ORDNO_DEMO_00120,
ADAPAYID_DEMO_00010,ORDNO_DEMO_00017,13.80,4.38,2026-07-11 23:45:03,延时,ADAPAYID_DEMO_00133,0,Y,0.03,ORDNO_DEMO_00121,
ADAPAYID_DEMO_00010,ORDNO_DEMO_00017,13.80,9.42,2026-07-11 23:45:03,延时,ADAPAYID_DEMO_00133,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00121,
ADAPAYID_DEMO_00011,ORDNO_DEMO_00018,13.80,4.38,2026-07-11 23:45:03,延时,ADAPAYID_DEMO_00134,0,Y,0.03,ORDNO_DEMO_00122,
ADAPAYID_DEMO_00011,ORDNO_DEMO_00018,13.80,9.42,2026-07-11 23:45:03,延时,ADAPAYID_DEMO_00134,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00122,
ADAPAYID_DEMO_00012,ORDNO_DEMO_00019,13.80,4.38,2026-07-11 23:45:03,延时,ADAPAYID_DEMO_00135,0,Y,0.03,ORDNO_DEMO_00123,
ADAPAYID_DEMO_00012,ORDNO_DEMO_00019,13.80,9.42,2026-07-11 23:45:03,延时,ADAPAYID_DEMO_00135,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00123,
ADAPAYID_DEMO_00014,ORDNO_DEMO_00020,21.39,5.75,2026-07-11 23:45:04,延时,ADAPAYID_DEMO_00136,0,Y,0.05,ORDNO_DEMO_00125,
