#支付确认流水记录
#起始日期：[2026年07月11日 00:00:00]    终止日期：[2026年07月11日 23:59:59]
#---------------------------------------------支付确认流水明细-------------------------------------------
交易时间,app_id,确认ID,支付确认订单号,商户支付ID,确认金额,手续费金额,确认状态
20260711141117,APP_DEMO_00001,ADAPAYID_DEMO_00065,ORDNO_DEMO_00058,ADAPAYID_DEMO_00057,14.90,0.04,S,
20260711171848,APP_DEMO_00001,ADAPAYID_DEMO_00087,ORDNO_DEMO_00015,ADAPAYID_DEMO_00008,14.80,0.04,S,
20260711231205,APP_DEMO_00002,ADAPAYID_DEMO_00126,ORDNO_DEMO_00001,ADAPAYID_DEMO_00125,0.03,0.00,S,
20260711234501,APP_DEMO_00001,ADAPAYID_DEMO_00128,ORDNO_DEMO_00011,ADAPAYID_DEMO_00002,14.90,0.04,S,
20260711234501,APP_DEMO_00001,ADAPAYID_DEMO_00129,ORDNO_DEMO_00012,ADAPAYID_DEMO_00004,22.48,0.06,S,
20260711234501,APP_DEMO_00001,ADAPAYID_DEMO_00130,ORDNO_DEMO_00013,ADAPAYID_DEMO_00006,18.76,0.05,S,
20260711234502,APP_DEMO_00001,ADAPAYID_DEMO_00131,ORDNO_DEMO_00014,ADAPAYID_DEMO_00007,31.00,0.08,S,
20260711234502,APP_DEMO_00001,ADAPAYID_DEMO_00132,ORDNO_DEMO_00016,ADAPAYID_DEMO_00009,15.08,0.04,S,
20260711234502,APP_DEMO_00001,ADAPAYID_DEMO_00133,ORDNO_DEMO_00017,ADAPAYID_DEMO_00010,13.80,0.03,S,
20260711234503,APP_DEMO_00001,ADAPAYID_DEMO_00134,ORDNO_DEMO_00018,ADAPAYID_DEMO_00011,13.80,0.03,S,
20260711234503,APP_DEMO_00001,ADAPAYID_DEMO_00135,ORDNO_DEMO_00019,ADAPAYID_DEMO_00012,13.80,0.03,S,
20260711234503,APP_DEMO_00001,ADAPAYID_DEMO_00136,ORDNO_DEMO_00020,ADAPAYID_DEMO_00014,21.39,0.05,S,
20260711234504,APP_DEMO_00001,ADAPAYID_DEMO_00137,ORDNO_DEMO_00021,ADAPAYID_DEMO_00015,12.80,0.03,S,
20260711234504,APP_DEMO_00001,ADAPAYID_DEMO_00138,ORDNO_DEMO_00022,ADAPAYID_DEMO_00016,17.00,0.04,S,
20260711234504,APP_DEMO_00001,ADAPAYID_DEMO_00139,ORDNO_DEMO_00023,ADAPAYID_DEMO_00018,14.00,0.04,S,
20260711234505,APP_DEMO_00001,ADAPAYID_DEMO_00140,ORDNO_DEMO_00024,ADAPAYID_DEMO_00019,11.80,0.03,S,
20260711234505,APP_DEMO_00001,ADAPAYID_DEMO_00141,ORDNO_DEMO_00025,ADAPAYID_DEMO_00020,22.34,0.06,S,
20260711234505,APP_DEMO_00001,ADAPAYID_DEMO_00142,ORDNO_DEMO_00026,ADAPAYID_DEMO_00021,12.80,0.03,S,
20260711234506,APP_DEMO_00001,ADAPAYID_DEMO_00143,ORDNO_DEMO_00027,ADAPAYID_DEMO_00022,15.60,0.04,S,
20260711234506,APP_DEMO_00001,ADAPAYID_DEMO_00144,ORDNO_DEMO_00028,ADAPAYID_DEMO_00024,14.70,0.04,S,
20260711234506,APP_DEMO_00001,ADAPAYID_DEMO_00145,ORDNO_DEMO_00029,ADAPAYID_DEMO_00025,13.80,0.03,S,
20260711234506,APP_DEMO_00001,ADAPAYID_DEMO_00146,ORDNO_DEMO_00030,ADAPAYID_DEMO_00029,16.80,0.04,S,
20260711234507,APP_DEMO_00001,ADAPAYID_DEMO_00147,ORDNO_DEMO_00031,ADAPAYID_DEMO_00028,15.98,0.04,S,
20260711234507,APP_DEMO_00001,ADAPAYID_DEMO_00148,ORDNO_DEMO_00032,ADAPAYID_DEMO_00030,14.80,0.04,S,
20260711234507,APP_DEMO_00001,ADAPAYID_DEMO_00149,ORDNO_DEMO_00033,ADAPAYID_DEMO_00031,11.82,0.03,S,
20260711234508,APP_DEMO_00001,ADAPAYID_DEMO_00150,ORDNO_DEMO_00034,ADAPAYID_DEMO_00032,13.68,0.03,S,
20260711234508,APP_DEMO_00001,ADAPAYID_DEMO_00151,ORDNO_DEMO_00035,ADAPAYID_DEMO_00033,14.80,0.04,S,
20260711234508,APP_DEMO_00001,ADAPAYID_DEMO_00152,ORDNO_DEMO_00036,ADAPAYID_DEMO_00034,13.80,0.03,S,
20260711234509,APP_DEMO_00001,ADAPAYID_DEMO_00153,ORDNO_DEMO_00037,ADAPAYID_DEMO_00035,16.80,0.04,S,
20260711234509,APP_DEMO_00001,ADAPAYID_DEMO_00154,ORDNO_DEMO_00038,ADAPAYID_DEMO_00036,16.88,0.04,S,
20260711234509,APP_DEMO_00001,ADAPAYID_DEMO_00155,ORDNO_DEMO_00039,ADAPAYID_DEMO_00037,13.80,0.03,S,
20260711234510,APP_DEMO_00001,ADAPAYID_DEMO_00156,ORDNO_DEMO_00040,ADAPAYID_DEMO_00038,23.10,0.06,S,
20260711234510,APP_DEMO_00001,ADAPAYID_DEMO_00157,ORDNO_DEMO_00041,ADAPAYID_DEMO_00039,18.79,0.05,S,
20260711234510,APP_DEMO_00001,ADAPAYID_DEMO_00158,ORDNO_DEMO_00042,ADAPAYID_DEMO_00040,10.08,0.03,S,
20260711234511,APP_DEMO_00001,ADAPAYID_DEMO_00159,ORDNO_DEMO_00043,ADAPAYID_DEMO_00041,13.81,0.03,S,
20260711234511,APP_DEMO_00001,ADAPAYID_DEMO_00160,ORDNO_DEMO_00044,ADAPAYID_DEMO_00043,28.60,0.07,S,
20260711234511,APP_DEMO_00001,ADAPAYID_DEMO_00161,ORDNO_DEMO_00045,ADAPAYID_DEMO_00044,13.50,0.03,S,
20260711234512,APP_DEMO_00001,ADAPAYID_DEMO_00162,ORDNO_DEMO_00046,ADAPAYID_DEMO_00045,13.80,0.03,S,
20260711234512,APP_DEMO_00001,ADAPAYID_DEMO_00163,ORDNO_DEMO_00047,ADAPAYID_DEMO_00046,20.38,0.05,S,
20260711234512,APP_DEMO_00001,ADAPAYID_DEMO_00164,ORDNO_DEMO_00048,ADAPAYID_DEMO_00047,18.60,0.05,S,
20260711234513,APP_DEMO_00001,ADAPAYID_DEMO_00165,ORDNO_DEMO_00049,ADAPAYID_DEMO_00048,17.88,0.04,S,
20260711234513,APP_DEMO_00001,ADAPAYID_DEMO_00166,ORDNO_DEMO_00050,ADAPAYID_DEMO_00049,18.76,0.05,S,
20260711234513,APP_DEMO_00001,ADAPAYID_DEMO_00167,ORDNO_DEMO_00051,ADAPAYID_DEMO_00050,13.00,0.03,S,
20260711234513,APP_DEMO_00001,ADAPAYID_DEMO_00168,ORDNO_DEMO_00052,ADAPAYID_DEMO_00051,14.40,0.04,S,
20260711234514,APP_DEMO_00001,ADAPAYID_DEMO_00169,ORDNO_DEMO_00053,ADAPAYID_DEMO_00052,13.70,0.03,S,
20260711234514,APP_DEMO_00001,ADAPAYID_DEMO_00170,ORDNO_DEMO_00054,ADAPAYID_DEMO_00053,17.88,0.04,S,
20260711234514,APP_DEMO_00001,ADAPAYID_DEMO_00171,ORDNO_DEMO_00055,ADAPAYID_DEMO_00054,17.88,0.04,S,
20260711234515,APP_DEMO_00001,ADAPAYID_DEMO_00172,ORDNO_DEMO_00056,ADAPAYID_DEMO_00055,14.90,0.04,S,
20260711234515,APP_DEMO_00001,ADAPAYID_DEMO_00173,ORDNO_DEMO_00057,ADAPAYID_DEMO_00056,16.88,0.04,S,
20260711234515,APP_DEMO_00001,ADAPAYID_DEMO_00174,ORDNO_DEMO_00059,ADAPAYID_DEMO_00058,20.46,0.05,S,
20260711234516,APP_DEMO_00001,ADAPAYID_DEMO_00175,ORDNO_DEMO_00060,ADAPAYID_DEMO_00059,9.00,0.02,S,
20260711234516,APP_DEMO_00001,ADAPAYID_DEMO_00176,ORDNO_DEMO_00061,ADAPAYID_DEMO_00060,10.80,0.03,S,
20260711234516,APP_DEMO_00001,ADAPAYID_DEMO_00177,ORDNO_DEMO_00062,ADAPAYID_DEMO_00063,10.60,0.03,S,
20260711234517,APP_DEMO_00001,ADAPAYID_DEMO_00178,ORDNO_DEMO_00063,ADAPAYID_DEMO_00064,15.80,0.04,S,
20260711234517,APP_DEMO_00001,ADAPAYID_DEMO_00179,ORDNO_DEMO_00064,ADAPAYID_DEMO_00067,6.50,0.02,S,
20260711234517,APP_DEMO_00001,ADAPAYID_DEMO_00180,ORDNO_DEMO_00065,ADAPAYID_DEMO_00068,11.60,0.03,S,
20260711234518,APP_DEMO_00001,ADAPAYID_DEMO_00181,ORDNO_DEMO_00066,ADAPAYID_DEMO_00069,20.60,0.05,S,
20260711234518,APP_DEMO_00001,ADAPAYID_DEMO_00182,ORDNO_DEMO_00067,ADAPAYID_DEMO_00070,15.39,0.04,S,
20260711234518,APP_DEMO_00001,ADAPAYID_DEMO_00183,ORDNO_DEMO_00068,ADAPAYID_DEMO_00073,31.88,0.08,S,
20260711234519,APP_DEMO_00001,ADAPAYID_DEMO_00184,ORDNO_DEMO_00069,ADAPAYID_DEMO_00074,14.88,0.04,S,
20260711234519,APP_DEMO_00001,ADAPAYID_DEMO_00185,ORDNO_DEMO_00070,ADAPAYID_DEMO_00075,14.90,0.04,S,
20260711234519,APP_DEMO_00001,ADAPAYID_DEMO_00186,ORDNO_DEMO_00071,ADAPAYID_DEMO_00076,13.80,0.03,S,
20260711234519,APP_DEMO_00001,ADAPAYID_DEMO_00187,ORDNO_DEMO_00072,ADAPAYID_DEMO_00077,33.12,0.08,S,
20260711234520,APP_DEMO_00001,ADAPAYID_DEMO_00188,ORDNO_DEMO_00073,ADAPAYID_DEMO_00078,12.76,0.03,S,
20260711234520,APP_DEMO_00001,ADAPAYID_DEMO_00189,ORDNO_DEMO_00074,ADAPAYID_DEMO_00079,19.40,0.05,S,
20260711234520,APP_DEMO_00001,ADAPAYID_DEMO_00190,ORDNO_DEMO_00075,ADAPAYID_DEMO_00080,17.66,0.04,S,
20260711234521,APP_DEMO_00001,ADAPAYID_DEMO_00191,ORDNO_DEMO_00076,ADAPAYID_DEMO_00081,14.90,0.04,S,
20260711234521,APP_DEMO_00001,ADAPAYID_DEMO_00192,ORDNO_DEMO_00077,ADAPAYID_DEMO_00082,22.98,0.06,S,
20260711234521,APP_DEMO_00001,ADAPAYID_DEMO_00193,ORDNO_DEMO_00078,ADAPAYID_DEMO_00086,15.96,0.04,S,
